,keyword,0,1,sum,dis%
62,debris,0.0,37.0,37.0,1.0
219,wreckage,0.0,39.0,39.0,1.0
70,derailment,0.0,39.0,39.0,1.0
153,outbreak,1.0,39.0,40.0,0.975
152,oil%20spill,1.0,37.0,38.0,0.9736842105263158
205,typhoon,1.0,37.0,38.0,0.9736842105263158
187,suicide%20bombing,1.0,32.0,33.0,0.9696969696969697
186,suicide%20bomber,1.0,30.0,31.0,0.967741935483871
32,bombing,2.0,27.0,29.0,0.9310344827586207
166,rescuers,3.0,32.0,35.0,0.9142857142857143
185,suicide%20bomb,3.0,32.0,35.0,0.9142857142857143
147,nuclear%20disaster,3.0,31.0,34.0,0.9117647058823529
96,evacuated,4.0,32.0,36.0,0.8888888888888888
162,razed,4.0,31.0,35.0,0.8857142857142857
214,wildfire,4.0,29.0,33.0,0.8787878787878788
213,wild%20fires,4.0,27.0,31.0,0.8709677419354839
3,airplane%20accident,5.0,30.0,35.0,0.8571428571428571
139,mass%20murder,5.0,28.0,33.0,0.8484848484848485
35,buildings%20on%20fire,5.0,28.0,33.0,0.8484848484848485
116,forest%20fires,5.0,27.0,32.0,0.84375
33,bridge%20collapse,6.0,29.0,35.0,0.8285714285714286
40,casualties,7.0,28.0,35.0,0.8
82,drought,7.0,28.0,35.0,0.8
115,forest%20fire,4.0,15.0,19.0,0.7894736842105263
207,violent%20storm,7.0,26.0,33.0,0.7878787878787878
196,thunderstorm,7.0,26.0,33.0,0.7878787878787878
97,evacuation,8.0,28.0,36.0,0.7777777777777778
87,earthquake,9.0,30.0,39.0,0.7692307692307693
171,sandstorm,9.0,28.0,37.0,0.7567567567567568
79,devastation,9.0,27.0,36.0,0.75
118,hailstorm,8.0,24.0,32.0,0.75
50,collision,10.0,29.0,39.0,0.7435897435897436
193,terrorist,8.0,23.0,31.0,0.7419354838709677
122,heat%20wave,9.0,25.0,34.0,0.7352941176470589
128,hostages,10.0,27.0,37.0,0.7297297297297297
114,floods,10.0,26.0,36.0,0.7222222222222222
81,displaced,10.0,26.0,36.0,0.7222222222222222
39,bush%20fires,7.0,18.0,25.0,0.72
192,terrorism,10.0,24.0,34.0,0.7058823529411765
216,wounded,11.0,26.0,37.0,0.7027027027027027
17,bioterrorism,9.0,21.0,30.0,0.7
191,survivors,9.0,21.0,30.0,0.7
141,massacre,11.0,25.0,36.0,0.6944444444444444
12,attack,11.0,25.0,36.0,0.6944444444444444
176,sinkhole,12.0,27.0,39.0,0.6923076923076923
10,arson,10.0,22.0,32.0,0.6875
130,injured,11.0,24.0,35.0,0.6857142857142857
1,accident,11.0,24.0,35.0,0.6857142857142857
34,buildings%20burning,11.0,24.0,35.0,0.6857142857142857
61,deaths,12.0,26.0,38.0,0.6842105263157895
103,fatal,12.0,26.0,38.0,0.6842105263157895
69,derailed,12.0,26.0,38.0,0.6842105263157895
43,catastrophic,10.0,20.0,30.0,0.6666666666666666
86,dust%20storm,12.0,24.0,36.0,0.6666666666666666
208,volcano,9.0,18.0,27.0,0.6666666666666666
108,fire%20truck,11.0,22.0,33.0,0.6666666666666666
102,famine,13.0,26.0,39.0,0.6666666666666666
113,flooding,13.0,25.0,38.0,0.6578947368421053
184,structural%20failure,12.0,23.0,35.0,0.6571428571428571
168,rioting,12.0,23.0,35.0,0.6571428571428571
121,hazardous,13.0,22.0,35.0,0.6285714285714286
95,evacuate,15.0,25.0,40.0,0.625
52,crashed,13.0,21.0,34.0,0.6176470588235294
198,tragedy,14.0,22.0,36.0,0.6111111111111112
163,refugees,14.0,22.0,36.0,0.6111111111111112
91,emergency%20plan,14.0,21.0,35.0,0.6
13,attacked,14.0,21.0,35.0,0.6
16,bioterror,15.0,22.0,37.0,0.5945945945945946
56,cyclone,13.0,19.0,32.0,0.59375
140,mass%20murderer,13.0,19.0,32.0,0.59375
78,devastated,13.0,18.0,31.0,0.5806451612903226
104,fatalities,19.0,26.0,45.0,0.5777777777777777
49,collided,17.0,23.0,40.0,0.575
38,burning%20buildings,16.0,21.0,37.0,0.5675675675675675
157,police,16.0,21.0,37.0,0.5675675675675675
160,radiation%20emergency,4.0,5.0,9.0,0.5555555555555556
125,hijacker,16.0,19.0,35.0,0.5428571428571428
161,rainstorm,16.0,18.0,34.0,0.5294117647058824
146,natural%20disaster,16.0,18.0,34.0,0.5294117647058824
93,engulfed,17.0,19.0,36.0,0.5277777777777778
4,ambulance,18.0,20.0,38.0,0.5263157894736842
129,hurricane,18.0,20.0,38.0,0.5263157894736842
137,lightning,16.0,17.0,33.0,0.5151515151515151
117,hail,17.0,18.0,35.0,0.5142857142857142
182,storm,17.0,18.0,35.0,0.5142857142857142
100,explosion,19.0,20.0,39.0,0.5128205128205128
31,bombed,19.0,19.0,38.0,0.5
165,rescued,18.0,17.0,35.0,0.4857142857142857
68,derail,18.0,17.0,35.0,0.4857142857142857
124,hijack,17.0,16.0,33.0,0.48484848484848486
127,hostage,16.0,15.0,31.0,0.4838709677419355
126,hijacking,17.0,15.0,32.0,0.46875
57,damage,22.0,19.0,41.0,0.4634146341463415
197,tornado,19.0,16.0,35.0,0.45714285714285713
44,chemical%20emergency,18.0,15.0,33.0,0.45454545454545453
175,seismic,16.0,13.0,29.0,0.4482758620689655
181,snowstorm,16.0,13.0,29.0,0.4482758620689655
30,bomb,19.0,15.0,34.0,0.4411764705882353
46,collapse,19.0,15.0,34.0,0.4411764705882353
41,casualty,19.0,15.0,34.0,0.4411764705882353
211,weapons,22.0,17.0,39.0,0.4358974358974359
80,disaster,20.0,15.0,35.0,0.42857142857142855
112,flood,20.0,15.0,35.0,0.42857142857142855
135,landslide,19.0,14.0,33.0,0.42424242424242425
109,first%20responders,17.0,12.0,29.0,0.41379310344827586
215,windstorm,24.0,16.0,40.0,0.4
84,drowned,23.0,15.0,38.0,0.39473684210526316
148,nuclear%20reactor,22.0,14.0,36.0,0.3888888888888889
89,electrocuted,21.0,13.0,34.0,0.38235294117647056
159,quarantined,23.0,14.0,37.0,0.3783783783783784
90,emergency,23.0,14.0,37.0,0.3783783783783784
101,eyewitness,20.0,12.0,32.0,0.375
47,collapsed,22.0,13.0,35.0,0.37142857142857144
51,crash,21.0,12.0,33.0,0.36363636363636365
0,ablaze,23.0,13.0,36.0,0.3611111111111111
210,weapon,25.0,14.0,39.0,0.358974358974359
212,whirlwind,25.0,14.0,39.0,0.358974358974359
169,rubble,18.0,10.0,28.0,0.35714285714285715
200,trauma,20.0,11.0,31.0,0.3548387096774194
6,annihilation,19.0,10.0,29.0,0.3448275862068966
110,flames,26.0,13.0,39.0,0.3333333333333333
92,emergency%20services,22.0,11.0,33.0,0.3333333333333333
145,mudslide,25.0,12.0,37.0,0.32432432432432434
203,tsunami,23.0,11.0,34.0,0.3235294117647059
5,annihilated,23.0,11.0,34.0,0.3235294117647059
195,thunder,26.0,12.0,38.0,0.3157894736842105
217,wounds,23.0,10.0,33.0,0.30303030303030304
190,survived,23.0,10.0,33.0,0.30303030303030304
37,burning,24.0,10.0,34.0,0.29411764705882354
209,war%20zone,17.0,7.0,24.0,0.2916666666666667
107,fire,27.0,11.0,38.0,0.2894736842105263
132,injury,27.0,11.0,38.0,0.2894736842105263
199,trapped,23.0,9.0,32.0,0.28125
7,apocalypse,23.0,9.0,32.0,0.28125
77,detonation,23.0,9.0,32.0,0.28125
76,detonate,26.0,10.0,36.0,0.2777777777777778
99,exploded,24.0,9.0,33.0,0.2727272727272727
131,injuries,24.0,9.0,33.0,0.2727272727272727
105,fatality,27.0,10.0,37.0,0.2702702702702703
85,drowning,25.0,9.0,34.0,0.2647058823529412
64,deluged,20.0,7.0,27.0,0.25925925925925924
67,demolition,26.0,9.0,35.0,0.2571428571428571
74,destroyed,24.0,8.0,32.0,0.25
66,demolished,21.0,7.0,28.0,0.25
60,death,27.0,9.0,36.0,0.25
73,destroy,28.0,9.0,37.0,0.24324324324324326
179,sirens,22.0,7.0,29.0,0.2413793103448276
71,desolate,22.0,7.0,29.0,0.2413793103448276
144,military,26.0,8.0,34.0,0.23529411764705882
11,arsonist,26.0,8.0,34.0,0.23529411764705882
59,dead,23.0,7.0,30.0,0.23333333333333334
188,sunk,30.0,9.0,39.0,0.23076923076923078
164,rescue,17.0,5.0,22.0,0.22727272727272727
45,cliff%20fall,28.0,8.0,36.0,0.2222222222222222
58,danger,28.0,8.0,36.0,0.2222222222222222
154,pandemonium,29.0,8.0,37.0,0.21621621621621623
36,burned,26.0,7.0,33.0,0.21212121212121213
120,hazard,27.0,7.0,34.0,0.20588235294117646
138,loud%20bang,27.0,7.0,34.0,0.20588235294117646
134,inundation,8.0,2.0,10.0,0.2
177,sinking,33.0,8.0,41.0,0.1951219512195122
72,desolation,29.0,7.0,36.0,0.19444444444444445
42,catastrophe,29.0,7.0,36.0,0.19444444444444445
15,battle,21.0,5.0,26.0,0.19230769230769232
218,wreck,30.0,7.0,37.0,0.1891891891891892
194,threat,9.0,2.0,11.0,0.18181818181818182
123,hellfire,32.0,7.0,39.0,0.1794871794871795
75,destruction,28.0,6.0,34.0,0.17647058823529413
167,riot,28.0,6.0,34.0,0.17647058823529413
133,inundated,29.0,6.0,35.0,0.17142857142857143
206,upheaval,32.0,6.0,38.0,0.15789473684210525
189,survive,27.0,5.0,32.0,0.15625
202,trouble,28.0,5.0,33.0,0.15151515151515152
28,body%20bagging,28.0,5.0,33.0,0.15151515151515152
26,blown%20up,28.0,5.0,33.0,0.15151515151515152
143,meltdown,28.0,5.0,33.0,0.15151515151515152
9,army,29.0,5.0,34.0,0.14705882352941177
65,demolish,29.0,5.0,34.0,0.14705882352941177
158,quarantine,29.0,5.0,34.0,0.14705882352941177
136,lava,29.0,5.0,34.0,0.14705882352941177
111,flattened,29.0,5.0,34.0,0.14705882352941177
20,bleeding,30.0,5.0,35.0,0.14285714285714285
63,deluge,36.0,6.0,42.0,0.14285714285714285
24,blood,30.0,5.0,35.0,0.14285714285714285
174,screams,30.0,5.0,35.0,0.14285714285714285
151,obliteration,25.0,4.0,29.0,0.13793103448275862
55,curfew,32.0,5.0,37.0,0.13513513513513514
14,avalanche,26.0,4.0,30.0,0.13333333333333333
18,blaze,33.0,5.0,38.0,0.13157894736842105
54,crushed,27.0,4.0,31.0,0.12903225806451613
150,obliterated,27.0,4.0,31.0,0.12903225806451613
149,obliterate,27.0,4.0,31.0,0.12903225806451613
106,fear,35.0,5.0,40.0,0.125
204,twister,35.0,5.0,40.0,0.125
178,siren,35.0,5.0,40.0,0.125
8,armageddon,37.0,5.0,42.0,0.11904761904761904
172,screamed,30.0,4.0,34.0,0.11764705882352941
53,crush,33.0,4.0,37.0,0.10810810810810811
23,blizzard,33.0,4.0,37.0,0.10810810810810811
142,mayhem,27.0,3.0,30.0,0.1
119,harm,37.0,4.0,41.0,0.0975609756097561
83,drown,29.0,3.0,32.0,0.09375
183,stretcher,30.0,3.0,33.0,0.09090909090909091
48,collide,31.0,3.0,34.0,0.08823529411764706
180,smoke,31.0,3.0,34.0,0.08823529411764706
25,bloody,32.0,3.0,35.0,0.08571428571428572
94,epicentre,11.0,1.0,12.0,0.08333333333333333
155,panic,34.0,3.0,37.0,0.08108108108108109
98,explode,35.0,3.0,38.0,0.07894736842105263
220,wrecked,36.0,3.0,39.0,0.07692307692307693
22,blight,30.0,2.0,32.0,0.0625
156,panicking,31.0,2.0,33.0,0.06060606060606061
21,blew%20up,31.0,2.0,33.0,0.06060606060606061
201,traumatised,33.0,2.0,35.0,0.05714285714285714
173,screaming,34.0,2.0,36.0,0.05555555555555555
88,electrocute,31.0,1.0,32.0,0.03125
27,body%20bag,32.0,1.0,33.0,0.030303030303030304
19,blazing,33.0,1.0,34.0,0.029411764705882353
170,ruin,36.0,1.0,37.0,0.02702702702702703
29,body%20bags,40.0,1.0,41.0,0.024390243902439025
2,aftershock,34.0,0.0,34.0,0.0
